<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.09.01	02:33:00	76357.67	76377.90	76251.28	76377.90	30	0	2633
2025.09.01	02:34:00	76378.67	76385.51	76313.51	76332.42	30	0	2633
2025.09.01	02:35:00	76318.84	76411.75	76275.37	76291.61	30	0	2633
2025.09.01	02:36:00	76267.36	76267.36	76212.65	76212.65	30	0	2633
2025.09.01	02:37:00	76234.02	76389.37	76230.94	76315.21	30	0	2633
2025.09.01	02:38:00	76328.46	76328.46	76104.69	76145.72	30	0	2633
2025.09.01	02:39:00	76130.41	76224.97	76122.95	76217.55	30	0	2633
2025.09.01	02:40:00	76204.83	76216.13	76056.47	76065.57	30	0	2633
2025.09.01	02:41:00	76053.92	76170.37	76050.45	76143.03	30	0	2633
2025.09.01	02:42:00	76158.77	76315.18	76158.77	76237.43	30	0	2633
2025.09.01	02:43:00	76244.65	76244.65	76133.85	76170.43	30	0	2633
2025.09.01	02:44:00	76175.68	76188.38	76118.65	76133.38	30	0	2633
2025.09.01	02:45:00	76124.04	76243.02	76118.64	76164.41	30	0	2633
2025.09.01	02:46:00	76158.86	76242.88	76143.48	76201.92	30	0	2633
2025.09.01	02:47:00	76201.52	76275.60	76180.38	76193.53	30	0	2633
2025.09.01	02:48:00	76183.31	76226.69	76093.92	76103.55	30	0	2633
2025.09.01	02:49:00	76119.28	76177.55	76075.81	76147.03	30	0	2633
2025.09.01	02:50:00	76145.12	76217.79	76111.71	76188.15	30	0	2633
2025.09.01	02:51:00	76194.63	76323.36	76165.95	76323.36	30	0	2633
2025.09.01	02:52:00	76334.66	76475.52	76314.34	76475.52	30	0	2633
2025.09.01	02:53:00	76476.12	76556.97	76464.49	76549.51	30	0	2633
2025.09.01	02:54:00	76576.32	76576.32	76503.63	76517.65	30	0	2633
2025.09.01	02:55:00	76499.47	76580.23	76450.18	76535.49	30	0	2633
2025.09.01	02:56:00	76526.42	76616.27	76503.54	76516.73	30	0	2633
2025.09.01	02:57:00	76500.12	76551.73	76433.95	76433.95	30	0	2633
2025.09.01	02:58:00	76452.46	76505.49	76425.68	76444.99	30	0	2633
2025.09.01	02:59:00	76428.06	76432.14	76370.60	76386.70	30	0	2633
2025.09.01	03:00:00	76369.19	76388.76	76264.49	76310.62	30	0	2633
2025.09.01	03:01:00	76307.52	76325.71	76254.23	76325.71	30	0	2633
2025.09.01	03:02:00	76319.60	76346.09	76284.16	76341.98	30	0	2633
2025.09.01	03:03:00	76345.30	76374.70	76257.79	76257.79	30	0	2633
2025.09.01	03:04:00	76263.27	76281.33	76203.91	76242.60	30	0	2633
2025.09.01	03:05:00	76251.53	76333.14	76215.65	76272.55	30	0	2633
2025.09.01	03:06:00	76292.28	76357.39	76282.37	76350.21	30	0	2633
2025.09.01	03:07:00	76351.02	76467.77	76351.02	76451.00	30	0	2633
2025.09.01	03:08:00	76448.92	76525.99	76448.92	76474.54	30	0	2633
2025.09.01	03:09:00	76464.71	76473.64	76352.85	76409.30	30	0	2633
2025.09.01	03:10:00	76387.08	76492.88	76307.59	76492.88	30	0	2633
2025.09.01	03:11:00	76467.69	76524.05	76399.93	76524.05	30	0	2633
2025.09.01	03:12:00	76516.25	76588.23	76489.67	76523.14	30	0	2633
2025.09.01	03:13:00	76493.79	76592.99	76485.08	76505.14	30	0	2633
2025.09.01	03:14:00	76518.04	76567.57	76502.31	76515.33	30	0	2633
2025.09.01	03:15:00	76529.73	76612.49	76490.16	76612.49	30	0	2633
2025.09.01	03:16:00	76626.96	76626.96	76497.30	76516.69	30	0	2633
2025.09.01	03:17:00	76520.81	76673.90	76520.81	76673.90	30	0	2633
2025.09.01	03:18:00	76673.03	76673.03	76601.37	76655.34	30	0	2633
2025.09.01	03:19:00	76654.79	76661.19	76539.14	76539.14	30	0	2633
2025.09.01	03:20:00	76552.93	76625.54	76542.63	76606.64	30	0	2633
2025.09.01	03:21:00	76618.50	76701.07	76579.90	76691.08	30	0	2633
2025.09.01	03:22:00	76703.54	76817.04	76703.54	76770.80	30	0	2633
2025.09.01	03:23:00	76775.63	76792.20	76623.20	76623.20	30	0	2633
2025.09.01	03:24:00	76649.76	76660.84	76533.22	76597.07	30	0	2633
2025.09.01	03:25:00	76616.05	76623.29	76512.25	76591.12	30	0	2633
2025.09.01	03:26:00	76589.07	76652.74	76584.13	76641.07	30	0	2633
2025.09.01	03:27:00	76640.31	76734.41	76618.61	76652.88	30	0	2633
2025.09.01	03:28:00	76612.80	76678.81	76586.39	76586.39	30	0	2633
2025.09.01	03:29:00	76589.56	76693.14	76571.72	76588.27	30	0	2633
2025.09.01	03:30:00	76567.12	76600.53	76525.11	76600.53	30	0	2633
2025.09.01	03:31:00	76583.77	76636.53	76539.03	76634.89	30	0	2633
2025.09.01	03:32:00	76652.59	76652.59	76563.89	76626.81	30	0	2633
2025.09.01	03:33:00	76614.09	76644.46	76543.51	76555.83	30	0	2633
2025.09.01	03:34:00	76561.47	76639.01	76527.81	76627.98	30	0	2633
2025.09.01	03:35:00	76633.95	76634.79	76564.52	76588.05	30	0	2633
2025.09.01	03:36:00	76595.02	76825.05	76595.02	76825.05	30	0	2633
2025.09.01	03:37:00	76828.51	76828.51	76725.16	76729.97	30	0	2633
2025.09.01	03:38:00	76751.94	76751.94	76625.16	76655.94	30	0	2633
2025.09.01	03:39:00	76640.82	76695.87	76583.91	76695.87	30	0	2633
2025.09.01	03:40:00	76679.39	76708.13	76630.02	76630.02	30	0	2633
2025.09.01	03:41:00	76628.42	76705.91	76598.14	76705.91	30	0	2633
2025.09.01	03:42:00	76709.06	76712.93	76599.04	76661.74	30	0	2633
2025.09.01	03:43:00	76663.96	76785.83	76660.66	76777.84	30	0	2633
2025.09.01	03:44:00	76798.37	76832.65	76718.37	76718.37	30	0	2633
2025.09.01	03:45:00	76744.15	76778.69	76706.78	76778.69	30	0	2633
2025.09.01	03:46:00	76776.77	76776.77	76649.54	76692.82	30	0	2633
2025.09.01	03:47:00	76668.51	76700.25	76615.71	76664.42	30	0	2633
2025.09.01	03:48:00	76660.37	76677.38	76553.94	76566.95	30	0	2633
2025.09.01	03:49:00	76557.70	76679.97	76520.29	76626.15	30	0	2633
2025.09.01	03:50:00	76624.73	76662.90	76550.95	76632.69	30	0	2633
2025.09.01	03:51:00	76621.26	76712.76	76611.69	76630.81	29	0	2633
2025.09.01	03:52:00	76628.22	76652.74	76475.70	76475.70	30	0	2633
2025.09.01	03:53:00	76440.97	76480.68	76431.67	76471.36	30	0	2633
2025.09.01	03:54:00	76487.96	76487.96	76381.32	76464.33	30	0	2633
2025.09.01	03:55:00	76465.10	76467.55	76348.74	76348.74	30	0	2633
2025.09.01	03:56:00	76338.25	76408.90	76323.08	76400.87	30	0	2633
2025.09.01	03:57:00	76418.82	76433.12	76318.70	76323.77	30	0	2633
2025.09.01	03:58:00	76306.04	76345.23	76188.44	76193.02	30	0	2633
2025.09.01	03:59:00	76207.34	76241.17	76146.54	76241.17	30	0	2633
2025.09.01	04:00:00	76227.84	76244.40	76189.55	76189.55	30	0	2633
2025.09.01	04:01:00	76180.70	76215.77	76151.21	76194.30	30	0	2633
2025.09.01	04:02:00	76186.08	76221.16	76124.96	76130.03	30	0	2633
2025.09.01	04:03:00	76136.52	76151.21	76096.91	76113.98	30	0	2633
2025.09.01	04:04:00	76112.53	76135.73	76074.47	76091.18	30	0	2633
2025.09.01	04:05:00	76120.76	76138.97	76070.40	76106.36	30	0	2633
2025.09.01	04:06:00	76102.97	76171.87	76059.11	76070.24	30	0	2633
2025.09.01	04:07:00	76081.77	76125.56	76052.27	76115.18	30	0	2633
2025.09.01	04:08:00	76102.32	76203.78	76081.17	76187.00	30	0	2633
2025.09.01	04:09:00	76183.84	76193.06	76128.48	76158.26	30	0	2633
2025.09.01	04:10:00	76151.66	76240.36	76134.64	76205.16	30	0	2633
2025.09.01	04:11:00	76205.69	76254.08	76156.21	76156.21	30	0	2633
2025.09.01	04:12:00	76171.85	76197.42	76138.52	76160.34	30	0	2633
2025.09.01	04:13:00	76182.13	76182.13	76048.90	76119.38	30	0	2633
2025.09.01	04:14:00	76117.78	76195.37	76105.13	76165.72	30	0	2633
2025.09.01	04:15:00	76183.07	76183.07	76004.49	76107.98	30	0	2633
2025.09.01	04:16:00	76126.43	76126.43	76076.75	76076.75	30	0	2633
2025.09.01	04:17:00	76053.64	76083.35	75996.99	76058.88	30	0	2633
2025.09.01	04:18:00	76076.26	76085.86	76015.09	76015.09	30	0	2633
2025.09.01	04:19:00	76023.97	76189.05	76019.62	76189.05	30	0	2633
2025.09.01	04:20:00	76194.17	76251.10	76167.20	76241.45	30	0	2633
2025.09.01	04:21:00	76229.47	76347.30	76229.47	76320.41	30	0	2633
2025.09.01	04:22:00	76321.67	76582.55	76318.79	76555.32	30	0	2633
2025.09.01	04:23:00	76549.23	76610.57	76531.52	76610.57	30	0	2633
2025.09.01	04:24:00	76598.66	76734.85	76598.66	76727.21	30	0	2633
2025.09.01	04:25:00	76705.04	76705.04	76553.92	76553.92	30	0	2633
2025.09.01	04:26:00	76542.92	76629.36	76542.92	76575.18	30	0	2633
2025.09.01	04:27:00	76576.42	76584.72	76438.40	76456.08	30	0	2633
