timestamp,strategy,zone_type,zone_price,trend,reason
2025-09-25T23:57:00.706062,aggressive,demand,68735.67,downtrend,score below threshold (FAST)
2025-09-25T23:58:00.778611,aggressive,demand,68735.67,downtrend,score below threshold (FAST)
2025-09-25T23:58:00.778611,aggressive,supply,69242.15,downtrend,score below threshold (FAST)
2025-09-25T23:59:00.930103,aggressive,demand,68735.67,downtrend,score below threshold (FAST)
2025-09-26T00:04:00.822141,aggressive,supply,69126.82,downtrend,score below threshold (FAST)
2025-09-26T00:05:00.716092,aggressive,supply,69126.82,downtrend,score below threshold (FAST)
2025-09-26T00:06:00.799997,aggressive,supply,69126.82,downtrend,score below threshold (FAST)
2025-09-26T00:07:00.813263,aggressive,supply,69126.82,downtrend,score below threshold (FAST)
2025-09-26T00:09:00.714800,aggressive,supply,69126.82,downtrend,score below threshold (FAST)
2025-09-26T00:10:00.684493,aggressive,supply,69126.82,downtrend,score below threshold (FAST)
2025-09-26T22:02:00.384332,aggressive,supply,70871.22,downtrend,score below threshold (FAST)
2025-09-26T22:08:00.441756,aggressive,supply,71065.8,downtrend,score below threshold (FAST)
2025-09-26T22:09:00.465483,aggressive,supply,71065.8,downtrend,score below threshold (FAST)
2025-09-26T22:10:00.449035,aggressive,demand,70741.07,downtrend,score below threshold (FAST)
2025-09-26T22:10:00.464980,aggressive,supply,71065.8,downtrend,score below threshold (FAST)
2025-09-26T22:11:00.443174,aggressive,supply,71065.8,downtrend,score below threshold (FAST)
2025-09-26T22:12:00.405465,aggressive,supply,71065.8,downtrend,score below threshold (FAST)
2025-09-26T22:30:00.585712,aggressive,supply,71110.97,downtrend,score below threshold (FAST)
2025-09-26T22:31:00.404088,aggressive,demand,70519.31,downtrend,score below threshold (FAST)
2025-09-26T22:32:00.485219,aggressive,demand,70519.31,downtrend,score below threshold (FAST)
2025-09-26T22:33:00.461832,aggressive,demand,70519.31,downtrend,score below threshold (FAST)
2025-09-26T22:36:00.455135,aggressive,demand,70519.31,downtrend,score below threshold (FAST)
2025-09-26T22:38:00.395200,aggressive,demand,70519.31,downtrend,score below threshold (FAST)
2025-09-26T22:40:00.497326,aggressive,demand,70519.31,downtrend,score below threshold (FAST)
2025-09-26T22:40:00.500292,aggressive,supply,71110.97,downtrend,score below threshold (FAST)
2025-09-26T22:41:00.407753,aggressive,demand,70519.31,downtrend,score below threshold (FAST)
2025-09-26T22:41:00.410703,aggressive,supply,71110.97,downtrend,score below threshold (FAST)
2025-09-26T22:42:00.407113,aggressive,supply,71110.97,downtrend,score below threshold (FAST)
2025-09-26T22:43:00.534183,aggressive,demand,70519.31,downtrend,score below threshold (FAST)
2025-09-26T22:43:00.538244,aggressive,supply,71110.97,downtrend,score below threshold (FAST)
2025-09-26T22:44:00.512124,aggressive,demand,70519.31,downtrend,score below threshold (FAST)
2025-09-26T22:44:00.514149,aggressive,supply,71110.97,downtrend,score below threshold (FAST)
2025-09-26T22:45:00.492125,aggressive,demand,70519.31,downtrend,score below threshold (FAST)
2025-09-26T22:45:00.495634,aggressive,supply,71110.97,downtrend,score below threshold (FAST)
2025-09-26T22:46:00.422309,aggressive,demand,70519.31,downtrend,score below threshold (FAST)
2025-09-26T22:46:00.426844,aggressive,supply,71110.97,downtrend,score below threshold (FAST)
